MovieName,DirectorName,TopMovies
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring,Bad Taste,The Lord of the Rings: The Return of the King,King Kong"
The Shawshank Redemption,Frank Darabont,"The Shawshank Redemption,The Green Mile,The Mist,The Walking Dead"
Pulp Fiction,Quentin Tarantino,"Reservoir Dogs,Pulp Fiction,Once Upon a Time... in Hollywood,From Dusk Till Dawn"
Schindler's List,Steven Spielberg,"Schindler's List,E.T. the Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
Forrest Gump,Robert Zemeckis,"Back to the Future,Forrest Gump,Contact,Flight"
The Godfather,Francis Ford Coppola,"Apocalypse Now,The Conversation,The Godfather Part II,The Godfather"
"The Good, the Bad and the Ugly",Sergio Leone,"Once Upon a Time in America,Duck, You Sucker!,A Fistful of Dollars,Once Upon a Time in the West"
The Dark Knight,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
12 Angry Men,Sidney Lumet,"12 Angry Men,Before the Devil Knows You're Dead,Serpico,Dog Day Afternoon"
